"","nodes","presence","random","mainnodeto","branchnodeto","maindiameter.171221","mainlength.171221","branchdiameter.171221","branchlength.171221","maindiameter.180109","mainlength.180109","branchdiameter.180109","branchlength.180109"
"89","5.16","B",0.5910190832,"","",NA,NA,NA,NA,NA,NA,NA,NA
"90","5.16.3","B",0.5988080644,"","",NA,NA,NA,NA,NA,NA,NA,NA
"91","5.11.3.2.1","B",0.604617924,"","",NA,NA,NA,NA,NA,NA,NA,NA
"92","5.11.3.1.2","B",0.6125366658,"","",NA,NA,NA,NA,NA,NA,NA,NA
"93","5.11","B",0.6209095773,"","",NA,NA,NA,NA,NA,NA,NA,NA
"94","5.10","B",0.63686805,"","",NA,NA,NA,NA,NA,NA,NA,NA
"95","5.10.1","B",0.6408679317,"","",NA,NA,NA,NA,NA,NA,NA,NA
"96","5.11.5.9","B",0.688445783,"","",NA,NA,NA,NA,NA,NA,NA,NA
"97","5.17.1.2","B",0.7182721358,"","",NA,NA,NA,NA,NA,NA,NA,NA
"98","5.11.11","B",0.7225039809,"","",NA,NA,NA,NA,NA,NA,NA,NA
"99","5.11.3.1.3","B",0.7250896927,"","",NA,NA,NA,NA,NA,NA,NA,NA
"100","5.7.5.1*5","B",0.7311617302,"","",NA,NA,NA,NA,NA,NA,NA,NA
"101","5.11.3.2","B",0.7501400928,"","",NA,NA,NA,NA,NA,NA,NA,NA
"102","5.15.4","B",0.758994643,"","",NA,NA,NA,NA,NA,NA,NA,NA
"103","5.11.3","B",0.7729509362,"","",NA,NA,NA,NA,NA,NA,NA,NA
"104","5.7.1","B",0.8684487216,"","",NA,NA,NA,NA,NA,NA,NA,NA
"105","5.11.3.1","B",0.870723828,"","",NA,NA,NA,NA,NA,NA,NA,NA
"106","5.11.6","B",0.9071477823,"","",NA,NA,NA,NA,NA,NA,NA,NA
"107","5.1","B",0.9334051514,"","",NA,NA,NA,NA,NA,NA,NA,NA
"108","5.11.3.3","B",0.9383031634,"","",NA,NA,NA,NA,NA,NA,NA,NA
"109","5.11.7","B",0.9571966808,"","",NA,NA,NA,NA,NA,NA,NA,NA
"110","5.11.9","B",0.9651104519,"","",NA,NA,NA,NA,NA,NA,NA,NA
"111","5.7.2","B",0.9806041926,"","",NA,NA,NA,NA,NA,NA,NA,NA
"112","5.19","B",0.9906678442,"","",NA,NA,NA,NA,NA,NA,NA,NA
"113","5.17.2","B",0.9942413214,"","",NA,NA,NA,NA,NA,NA,NA,NA
"114","5.11.6*5","17",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA
"115","5.11.8*5","17",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA
