# CoordinateSystem: GEOGCS["WGS 84",DATUM["World Geodetic System 1984",SPHEROID["WGS 84",6378137,298.257223563,AUTHORITY["EPSG","7030"]],TOWGS84[0,0,0,0,0,0,0],AUTHORITY["EPSG","6326"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.01745329251994328,AUTHORITY["EPSG","9102"]],AUTHORITY["EPSG","4326"]]
#Label,X/Longitude,Y/Latitude,Z/Altitude,Yaw,Pitch,Roll,Error_(m),X_error,Y_error,Z_error,Error_(deg),Yaw_error,Pitch_error,Roll_error,X_est,Y_est,Z_est,Yaw_est,Pitch_est,Roll_est
DJI_0023.JPG,-88.049705,41.814103,196.769000,,,,2.154338,0.078866,0.219185,2.141707,,,,,-88.049704,41.814105,198.910707,93.519609,89.053697,0.000000
DJI_0024.JPG,-88.049709,41.814127,196.769000,,,,2.190568,0.050101,-0.429389,2.147488,,,,,-88.049709,41.814124,198.916488,100.346471,88.969961,0.000000
DJI_0024.JPG,-88.049709,41.814127,196.769000,,,,2.190568,0.050101,-0.429389,2.147488,,,,,-88.049709,41.814124,198.916488,100.346471,88.969961,0.000000
DJI_0025.JPG,-88.049704,41.814157,196.769000,,,,2.175775,0.062741,-0.269704,2.158083,,,,,-88.049704,41.814155,198.927083,266.721162,87.242042,161.513215
DJI_0025.JPG,-88.049704,41.814157,196.769000,,,,2.175775,0.062741,-0.269704,2.158083,,,,,-88.049704,41.814155,198.927083,266.721162,87.242042,161.513215
DJI_0026.JPG,-88.049700,41.814175,196.669000,,,,2.311782,0.005407,-0.279233,2.294850,,,,,-88.049700,41.814173,198.963850,117.970279,87.489630,0.000000
DJI_0026.JPG,-88.049700,41.814175,196.669000,,,,2.311782,0.005407,-0.279233,2.294850,,,,,-88.049700,41.814173,198.963850,117.970279,87.489630,0.000000
DJI_0027.JPG,-88.049694,41.814195,196.769000,,,,2.296703,-0.032965,-0.379672,2.264863,,,,,-88.049694,41.814192,199.033863,118.263313,87.580164,0.000000
DJI_0027.JPG,-88.049694,41.814195,196.769000,,,,2.296703,-0.032965,-0.379672,2.264863,,,,,-88.049694,41.814192,199.033863,118.263313,87.580164,0.000000
DJI_0028.JPG,-88.049675,41.814211,198.169000,,,,2.423450,0.384230,-0.042964,2.392412,,,,,-88.049670,41.814211,200.561412,122.841469,88.180658,0.000000
DJI_0028.JPG,-88.049675,41.814211,198.169000,,,,2.423450,0.384230,-0.042964,2.392412,,,,,-88.049670,41.814211,200.561412,122.841469,88.180658,0.000000
DJI_0029.JPG,-88.049661,41.814221,199.169000,,,,2.088124,0.084884,-0.257988,2.070386,,,,,-88.049660,41.814219,201.239386,129.921057,88.159278,0.000000
DJI_0029.JPG,-88.049661,41.814221,199.169000,,,,2.088124,0.084884,-0.257988,2.070386,,,,,-88.049660,41.814219,201.239386,129.921057,88.159278,0.000000
DJI_0030.JPG,-88.049651,41.814230,199.769000,,,,2.075519,0.161995,-0.192516,2.060213,,,,,-88.049650,41.814228,201.829213,138.252513,84.256939,7.863543
