"","X.Label","X_est.x","Y_est.x","Z_est.x","reflat.x","reflong.x","rlat.x","m.lat.x","m.long.x","meterslat.x","meterslong.x","metersalt.x","ground.alt.x","vert.dist.x","center.dist.x","hor.dist.x","meterslat.or.x","meterslong.or.x","theta.x","thetadeg.x","X_est.y","Y_est.y","Z_est.y","reflat.y","reflong.y","rlat.y","m.lat.y","m.long.y","meterslat.y","meterslong.y","metersalt.y","ground.alt.y","vert.dist.y","center.dist.y","hor.dist.y","meterslat.or.y","meterslong.or.y","theta.y","thetadeg.y","is.in","avg.hor.dist","diff.hor.dist","avg.vert.dist","diff.vert.dist","avg.center.dist","diff.center.dist","avg.theta","diff.theta"
"99","17-6",-88.089997,41.819877,41.613208,41.8198712222222,-88.090008,0.729894445587803,111069.757208431,83084.0805208178,4644923.58487646,-7318876.4038266,41.613208,34.0455853413377,7.56762265866233,7.64957495410137,1.11672927539106,0.641736374236643,0.913924887776375,-0.205901873106686,-11.7973083228513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"171221",NA,NA,NA,NA,NA,NA,NA,NA
"100","17-7",-88.089997,41.819875,41.76605,41.8198712222222,-88.090008,0.729894445587803,111069.757208431,83084.0805208178,4644923.36273695,-7318876.4038266,41.76605,34.0455853413377,7.72046465866233,7.78568524742749,1.00564418476713,0.419596861116588,0.913924887776375,-0.387678662818721,-22.212351186788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"171221",NA,NA,NA,NA,NA,NA,NA,NA
"101","18",-88.09,41.819881,40.501952,41.8198712222222,-88.090008,0.729894445587803,111069.757208431,83084.0805208178,4644924.02915549,-7318876.65307884,40.501952,34.0455853413377,6.45636665866233,6.58072105587572,1.27327105682939,1.08601540420204,0.664672645740211,0.203492144015532,11.6592410161583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"171221",NA,NA,NA,NA,NA,NA,NA,NA
"102","18-1",-88.089998,41.819882,40.667817,41.8198712222222,-88.090008,0.729894445587803,111069.757208431,83084.0805208178,4644924.14022525,-7318876.48691068,40.667817,34.0455853413377,6.62223165866233,6.78065346927277,1.45715796308132,1.19708516076207,0.830840807408094,0.145985719291731,8.36436558459777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"171221",NA,NA,NA,NA,NA,NA,NA,NA
"103","18-2",-88.089997,41.819884,40.92071,41.8198712222222,-88.090008,0.729894445587803,111069.757208431,83084.0805208178,4644924.36236476,-7318876.4038266,40.92071,34.0455853413377,6.87512465866233,7.07932175090854,1.6880335840083,1.41922467574477,0.913924887776375,0.180591463882944,10.3471286965819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"171221",NA,NA,NA,NA,NA,NA,NA,NA
"104","19",-88.090002,41.819882,40.778047,41.8198712222222,-88.090008,0.729894445587803,111069.757208431,83084.0805208178,4644924.14022525,-7318876.819247,40.778047,34.0455853413377,6.73246165866233,6.85620591792894,1.29673420703146,1.19708516076207,0.49850448500365,0.358118302684706,20.5186673102222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"171221",NA,NA,NA,NA,NA,NA,NA,NA
"105","19-1",-88.090004,41.819883,41.005527,41.8198712222222,-88.090008,0.729894445587803,111069.757208431,83084.0805208178,4644924.251295,-7318876.98541516,41.005527,34.0455853413377,6.95994165866233,7.08960539202016,1.34970986607418,1.30815491825342,0.332336324267089,0.503922924448943,28.8726567708143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"171221",NA,NA,NA,NA,NA,NA,NA,NA
"106","19-2",-88.09001,41.819886,41.721963,41.8198712222222,-88.090008,0.729894445587803,111069.757208431,83084.0805208178,4644924.58450427,-7318877.48391964,41.721963,34.0455853413377,7.67637765866233,7.85165347040281,1.64975400010978,1.64136418979615,-0.166168159805238,0.853603476794467,48.9078765980163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"171221",NA,NA,NA,NA,NA,NA,NA,NA
"107","19-3",-88.090011,41.819887,41.697935,41.8198712222222,-88.090008,0.729894445587803,111069.757208431,83084.0805208178,4644924.69557403,-7318877.56700372,41.697935,34.0455853413377,7.65234965866233,7.85440046835318,1.77007102084554,1.7524339472875,-0.249252240173519,0.893993786026954,51.2220708502661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"171221",NA,NA,NA,NA,NA,NA,NA,NA
"108","19-4",-88.090012,41.819887,41.830372,41.8198712222222,-88.090008,0.729894445587803,111069.757208431,83084.0805208178,4644924.69557403,-7318877.6500878,41.830372,34.0455853413377,7.78478665866233,7.98651209793386,1.78366817809729,1.7524339472875,-0.332336320541799,0.940126475639627,53.8652792626593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"171221",NA,NA,NA,NA,NA,NA,NA,NA
"109","19-4-1",-88.090012,41.819887,41.898006,41.8198712222222,-88.090008,0.729894445587803,111069.757208431,83084.0805208178,4644924.69557403,-7318877.6500878,41.898006,34.0455853413377,7.85242065866233,8.05245194770785,1.78366817809729,1.7524339472875,-0.332336320541799,0.940126475639627,53.8652792626593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"171221",NA,NA,NA,NA,NA,NA,NA,NA
"110","19-4-2",-88.090013,41.819887,41.882665,41.8198712222222,-88.090008,0.729894445587803,111069.757208431,83084.0805208178,4644924.69557403,-7318877.73317188,41.882665,34.0455853413377,7.83707965866233,8.0413566284127,1.80099940285885,1.7524339472875,-0.415420400910079,0.985466385132612,56.4630647201124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"171221",NA,NA,NA,NA,NA,NA,NA,NA
"111","19-4-3",-88.090015,41.819889,42.278768,41.8198712222222,-88.090008,0.729894445587803,111069.757208431,83084.0805208178,4644924.91771355,-7318877.89934005,42.278768,34.0455853413377,8.23318265866233,8.48660605307917,2.05844252027158,1.97457346133888,-0.58158856164664,1.0391484431301,59.5388200789448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"171221",NA,NA,NA,NA,NA,NA,NA,NA
