"","node","is.in","vert.dist","center.dist","hor.dist","theta"
"45","1-7","both",6.70038576265183,6.84467453477009,1.39387693908366,175.889426340466
"46","1-7-1","both",6.67908426265184,6.8226163386127,1.39204114776977,171.004710146852
"47","1-7-1-1","both",6.60174926265184,6.76639374090269,1.47908424016251,155.686938862856
"48","1-7-2","both",6.71426026265183,6.80603520242869,1.11344487047816,170.820366867948
"49","1-7-3","both",6.65805276265183,6.72307486047823,0.932753076475647,168.755430869191
"50","1-7-4","both",6.67707126265184,6.72622732312337,0.811576478943923,166.00584931107
"51","1-7-4.1","both",6.64179276265183,6.69462272281238,0.839271390500505,168.197716699373
"52","1-7-5","both",6.84054426265183,6.88254558684397,0.732180411035774,145.354361881517
"53","1-7-5.1","180109",6.95571308181044,7.01963635514211,0.945171985388806,92.0429931871591
"54","1-7-6","180109",7.22322108181044,7.3043143103003,1.08539612443892,80.366279798136
"55","1-7-7","180109",7.25882608181044,7.33952592698728,1.08539612443892,80.366279798136
"56","1-8","both",6.76800576265184,7.0394860350118,1.93581019476521,176.642569139679
"57","1-9","both",7.11034026265183,7.38198334877362,1.98233814800122,175.764525757617
"58","1-9-1","180109",7.77823608181043,7.98185116742548,1.79136582376515,159.429593058204
"59","1-9-2","180109",7.83868808181043,8.04077249761929,1.79136582376515,159.429593058204
"60","1-9-2-1","180109",7.90802308181043,8.05169283167611,1.51424185426831,159.868158093978
"61","1-9-3","180109",8.02063508181044,8.24277769634567,1.9007359195336,163.314615598254
"62","1-9-4","180109",8.47778708181045,8.71946274163644,2.03866542087562,162.88821969172
"63","1-9-5","180109",8.51849908181043,8.75905150715984,2.03866542087562,162.88821969172
"64","11","both",14.3811997626518,14.5007921010007,1.85666755879891,-14.9571578594526
"65","11-1","both",14.5735992626518,14.6783237894721,1.74697539834836,-16.333373427247
"66","11-2","both",14.6933517626518,14.7853359910092,1.64099532564719,-17.8032955274551
"67","11-3","both",14.7152127626518,14.7944936489231,1.52162737188126,-18.0581762041309
"68","11-4","both",14.6937122626518,14.7746258659658,1.52850486082543,-21.7975559794282
"69","11-4.1","180109",15.3232790818104,15.3656593985152,1.14044155138616,-16.6853842963774
"70","11-4.1-1","180109",15.4610480818104,15.5122878727645,1.2597885772872,-11.1567039648979
