"","node","is.in","vert.dist","center.dist","hor.dist","theta"
"26","1-8-2","171221",4.16532965866233,4.9044105283639,2.58906768266003,-81.9321076638593
"27","1-8-2-1","171221",4.23615965866233,5.03809563818076,2.7271521786981,-82.2150003254365
"28","1-8-3","171221",4.36473565866233,5.13435971717864,2.70383659554127,-79.3296663063382
"29","1-9","171221",3.55623265866233,4.71564513821793,3.09685620380764,-77.8842080015217
"30","10","both",3.46605588495018,3.52175064505677,0.621758174503405,-22.9899719986774
"31","10--10","171221",7.23461265866233,7.53538714226734,2.10770943513824,-44.0769409379577
"32","10-1","171221",4.46801665866233,4.56059653686228,0.914258119983706,-35.8476829971374
"33","10-10-1","171221",7.71112165866233,8.01597701366049,2.18963244606077,-43.7077824942215
"34","10-10-2","171221",7.92101065866233,8.1966364392727,2.10770943513824,-44.0769409379577
"35","10-10-3","171221",7.93520365866233,8.20626168407168,2.09171549762746,-41.0773548330008
"36","10-11","171221",7.41176665866233,7.78242466940612,2.37315164549644,-45.6979840172263
"37","10-2","both",4.10374038495018,4.19208466906127,0.850730899860988,-46.1312290309165
"38","10-2-1","171221",4.67579265866233,4.7509748493659,0.841858083352973,-43.5803018861278
"39","10-2-2","171221",4.84817665866233,4.90659687794902,0.754901324082044,-62.6008244528889
"40","10-3","both",4.40625938495018,4.51095788910916,0.964369637867019,-48.1689605452552
"41","10-3-1","171221",5.12632965866233,5.22244117834763,0.997314439893433,-35.7188214915282
"42","10-3-10","171221",7.22741865866233,7.33458998749977,1.24925170288116,-30.3354327031601
"43","10-3-2","171221",5.16387065866233,5.24483381008038,0.917998647040687,-28.9009174340476
"44","10-3-2-1","171221",5.71596965866233,5.72902661668786,0.386570609293565,-3.58405605493192
"45","10-3-3","171221",5.30132565866233,5.38022074409221,0.917998647040687,-28.9009174340476
"46","10-3-3-1","171221",6.39568865866233,6.48028157368177,1.04365504629527,-17.1058621692097
"47","10-3-4","171221",5.85088865866233,5.96544116882187,1.16343897244825,-35.516296345548
"48","10-3-5","171221",6.12620865866233,6.25173645802575,1.24650560012344,-35.4352774960476
"49","10-3-6","171221",6.64998865866233,6.82054474264803,1.51574451215435,-43.6723805851876
"50","10-3-6-1","171221",6.94756165866233,7.15247405194546,1.6997858873512,-46.4553225529198
"51","10-3-7","171221",6.89173565866233,7.03502568056201,1.41264501460528,-35.3018249437337
"52","10-3-8","171221",7.01985765866233,7.16182845794023,1.41893809346366,-39.7906540438835
"53","10-3-9","171221",7.19801765866233,7.32025135711823,1.33214928479377,-30.5825426950013
"54","10-4","171221",5.21886565866233,5.37127980168551,1.27046760872905,-45.5031317386018
"55","10-5","both",4.90981088495018,5.08987306430098,1.32636430994443,-49.1475260384332
"56","10-6","171221",5.75623565866233,5.93778510633311,1.45706657738608,-48.5194349646652
"57","10-6-1","171221",5.83102065866233,6.00869342963709,1.45037747142495,-57.8736893072282
"58","10-6-2","171221",6.13280765866233,6.38332024933855,1.77071952252983,-61.238261943638
"59","10-7","171221",6.39301365866233,6.59474640072631,1.61865884300845,-47.0745506762211
"60","10-8","171221",6.46172865866233,6.68842639506163,1.72658923429373,-50.060857340389
"61","10-8-1","171221",6.93596565866233,7.23897542980041,2.07247331831095,-57.072340147564
"62","10-8-2","171221",6.94974765866233,7.2438963979767,2.04329207543544,-60.8485639930894
"63","10-9","171221",6.91989765866233,7.1831450454586,1.92680801787208,-41.6604241545097
"64","10-9-1","171221",7.28014465866233,7.54832583976897,1.99417068784853,-35.0098616063809
"65","14","both",4.34441588495018,4.37606456155219,0.488670666740874,-5.76453373830646
"66","14-1","171221",5.05087465866233,5.07099676608434,0.451301876929943,34.0948284176814
"67","14-2","171221",4.94492165866233,4.96338742200192,0.42774348689261,44.4990965419354
"68","14-3","171221",5.26317365866233,5.28575303682715,0.488045289999208,86.4108087137282
"69","14-4","171221",5.41330565866233,5.42709084018308,0.386570606090918,114.982686789103
"70","14-5","171221",5.73555265866233,5.77321388209578,0.658357219247203,117.753797759708
"71","14-5-1","171221",6.00967865866233,6.07053862713206,0.857439002565761,116.400751457756
"72","14-5-2","171221",6.03624365866233,6.09683845528665,0.857439002565761,116.400751457756
"73","14-6","171221",5.75695365866233,5.80340366710463,0.73278830188387,120.799575493477
"74","14-7","171221",6.03220765866233,6.13132282840867,1.09799380186815,135.339185921726
"75","14-8","171221",6.13617465866233,6.26204992409013,1.24925170009389,141.734063710502
"76","14-9","171221",6.17146665866233,6.33162066549781,1.415068737828,142.19932731845
"77","15","both",4.58858288495018,4.64871519155254,0.734835891420214,4.84674613310027
"78","15--10","171221",7.09038465866233,7.61576602161246,2.77962901987887,1.89164094505733
"79","15-1","171221",5.49466965866233,5.66606364271042,1.38306997126699,4.35270094510734
"80","15-11","171221",7.18080565866233,7.6771109176322,2.71552244221082,0
"81","15-2","171221",5.97279165866233,6.23493480169666,1.78890239633744,7.7025831327554
"82","15-3","171221",6.11707365866233,6.43167318188879,1.9869146365979,6.87614002161323
"83","15-4","171221",6.11415965866233,6.42890178061081,1.9869146365979,6.87614002161323
"84","15-5","171221",6.27517965866233,6.62450364900468,2.12277385681725,7.65617175861079
"85","15-6","171221",6.33721465866233,6.70340764760285,2.18526530654189,6.19960470756495
"86","15-7","171221",6.58063365866233,6.95756611027128,2.25897915645006,8.34225405063555
"87","15-7-1","171221",6.61493465866233,7.01023315678644,2.32077753654586,6.95258207926382
"88","15-8","171221",6.94234965866233,7.38525310204468,2.51907613980435,6.35968582015635
"89","15-8-1","171221",6.99162165866233,7.43158919855019,2.51907613980435,6.35968582015635
"90","15-8-2","171221",7.09199065866233,7.55109425426182,2.59281563829596,8.22189148277849
"91","15-9","171221",7.03141665866233,7.53666375772436,2.71302052503878,2.92780653290619
"92","2","both",1.60432588495018,1.65439420240673,0.395168833283131,1.15004367642817
"93","2-1","both",1.77576788495018,2.1573967652592,1.22515041607917,9.34388002705264
"94","2-1.1","180109",1.94760511123803,2.94592631393047,2.21027513621889,6.14824253044492
"95","2-2","171221",2.19382065866233,3.39946752552982,2.59683083291118,-4.05223940448996
"96","2-2-1","171221",2.09098865866233,3.40743885543636,2.69042858721114,-7.88104497226094
"97","2-2-2","171221",1.92160365866233,3.58494309298564,3.02642633463314,-13.2714558354441
"98","2-3","171221",2.46935465866233,3.7742425174552,2.85432901928093,-1.88003506570534
"99","2-3-1","171221",2.52913865866233,3.7704289060728,2.79635330046277,-3.80144308308878
"100","2-3-1-1","171221",2.58414765866233,3.80754657263428,2.79635330046277,-3.80144308308878
"101","2-3-1-2","171221",2.63534365866233,3.80285400589722,2.74165322222136,-5.80184814303795
"102","2-4","171221",2.49864765866233,3.79347258754403,2.85432901928093,-1.88003506570534
"103","2-4-1","171221",2.61820965866233,3.87326941575485,2.85432901928093,-1.88003506570534
"104","2-5","both",2.38610038495018,3.73226450100193,2.86896607105469,1.99835574569623
"105","2-5-1","171221",2.62097165866233,3.97193112240554,2.98441692891971,-0.935168478847948
"106","2-5-2","171221",2.64848765866233,4.03710039753407,3.04691528298426,0.809467275770997
"107","2-5-3","171221",2.72035365866233,4.133477722757,3.1121237212442,2.48249065243833
"108","2-6","both",2.36747738495018,3.77640139676508,2.94032607001619,1.1620973178152
"109","2-7","171221",2.62233265866233,4.18933549349167,3.26709401522852,-4.14225794718183
"110","2-8","171221",2.67320365866233,4.17943127124081,3.21272905025306,-5.85520585825979
"111","3","both",1.69262638495018,1.7038329238692,0.193576573005272,-88.5452445311793
"112","3-1","both",1.69826988495018,1.71971055937513,0.235131324515613,-42.9778216475649
"113","3-1-.5","180109",1.70306011123803,1.83154028677808,0.67388877390933,-194.53159620067
"114","3-1-1","171221",1.90204965866233,2.24314397081858,1.18907609924776,-202.320444540378
"115","3-1-2","171221",1.86851065866233,2.3462134140128,1.41893808975545,-208.810714925522
"116","3-1-3","171221",1.74339065866233,2.42105714560977,1.67991271011237,-205.851899366673
"117","3-1-4","171221",1.59657665866233,2.49382312705353,1.91574966058765,-210.237243133784
"118","3-1-5","171221",1.48944765866233,2.48901005253057,1.99417068319227,-213.59150737576
"119","3-1-6","171221",1.46163365866233,2.53994782030108,2.07724865572651,-213.619871735324
"120","3-1-6-1","171221",1.47962765866233,2.5503450719454,2.07724865572651,-213.619871735324
"121","3-2","both",1.84309588495018,1.90292180908517,0.411406012871519,-166.074562664297
"122","3-2-.5","180109",1.92850311123803,2.20307379767626,1.06508680770768,-165.285171829633
"123","3-2-1","171221",2.27719565866233,2.42339564829975,0.828991194384841,-188.723968103048
"124","3-2-2","both",2.03712038495018,2.43810926126101,1.30651859384018,-175.214648684835
"125","3-2-2-1","171221",2.04086465866233,2.60121032539391,1.61281325700125,-179.812204470656
"126","3-2-2-2","171221",1.89860965866233,2.81416786214007,2.0772149913613,-177.426631953212
"127","3-2-3","171221",2.43143265866233,2.81827109454747,1.42505690719776,-185.290597619002
"128","3-2-4","171221",2.38973065866233,2.82056584865297,1.49825868448567,-186.831641985545
"129","3-2-5","171221",2.57451765866233,3.16746024532841,1.84517295421642,-188.531934406892
"130","3-3","171221",2.32217165866233,2.3690516702978,0.468961196951568,-124.300684264328
"131","3-4","171221",2.54827465866233,2.59638983928838,0.497530362469776,-143.811571485262
"132","3-5","171221",2.94849665866233,3.03296300628808,0.710796772199418,-137.820245041337
"133","3-5-1","171221",3.14402565866233,3.22337236348769,0.710796772199418,-137.820245041337
"134","3-5-10","171221",4.81572765866233,5.07091378031319,1.58837454177685,-118.29568591413
"135","3-5-10-1","171221",4.96338865866233,5.21929077903008,1.61423952966423,-112.419786296445
"136","3-5-10-2","171221",5.06616565866233,5.28519021401971,1.50572278901535,-111.549624600955
"137","3-5-10-3","171221",5.07735765866233,5.30178164313632,1.5262135491209,-108.506045014272
"138","3-5-11","171221",4.93129765866233,5.2157330651714,1.69887457123639,-118.687568013819
"139","3-5-2","171221",3.16403965866233,3.23863661987944,0.691100711934268,-124.300684337475
"140","3-5-3","171221",3.27192565866233,3.34514882687604,0.696076977163577,-131.155879704831
"141","3-5-4","171221",3.28365465866233,3.40929590851458,0.917011818058767,-129.49898623037
"142","3-5-5","171221",3.54268265866233,3.66226978630441,0.928234651201609,-134.613090761004
"143","3-5-6","171221",3.57876865866233,3.66756902767325,0.802170468494296,-124.300684358857
"144","3-5-7","171221",3.93314965866233,4.12676696119911,1.24921547965469,-120.487184036519
"145","3-5-7-1","171221",3.99211165866233,4.18217549190806,1.24644949752837,-124.300684406278
"146","3-5-8","171221",4.15473765866233,4.33847718985773,1.24921547965469,-120.487184036519
"147","3-5-8-1","171221",4.39325865866233,4.5787340413865,1.28999371310096,-139.229946773405
"148","3-5-8-2","171221",4.45156865866233,4.6347111347553,1.28999371310096,-139.229946773405
"149","3-5-8-3","171221",4.43406865866233,4.62462704756963,1.31385328685551,-142.733036660829
"150","3-5-8-4","171221",4.46259065866233,4.65198085186959,1.31385328685551,-142.733036660829
"151","3-5-9","171221",4.23325265866233,4.448696264984,1.36765141246258,-117.322067379899
"152","3-6","171221",3.20310665866233,3.4075073147515,1.1624172371907,-136.682526639712
"153","3-7","171221",3.43729165866233,3.71892546092971,1.41965933844764,-141.315548094768
"154","3-8","171221",3.73713465866233,4.12560751901347,1.74770190363383,-149.63196678492
"155","3-9","171221",3.71713165866233,4.13732044210295,1.81668727986222,-145.761861253884
"156","4","171221",2.06710065866233,2.08314819320327,0.258072202694971,15.6173783424602
"157","4-1","both",2.48066388495018,2.51695313831578,0.408245979029976,131.647383124498
"158","4-2","171221",2.88308165866233,2.93251700283425,0.53618664790989,124.090824769575
"159","4-3","both",2.66646488495018,2.75690497099178,0.681083570806726,-199.671764486583
"160","4-3-1","both",2.97707038495018,3.26431850624125,1.31243894895931,-186.680522671462
"161","4-3-1-1","171221",3.23193965866233,3.51212711331215,1.37462827805482,-189.342622760214
"162","4-3-1-2","171221",3.22329265866233,3.83463657778969,2.0772149913613,-177.426631953212
"163","4-3-2","171221",3.33293265866233,3.54816958683433,1.21699108861081,-197.198370124463
"164","4-3-3","171221",3.46181465866233,3.71648228378392,1.35206502608061,-203.782263678361
"165","4-3-4","171221",3.60338165866233,3.9177807659615,1.53774079485257,-200.842333748242
"166","4-3-4-1","171221",3.68433365866233,4.13947749047616,1.88705044601533,-199.911002753531
"167","4-3-5","171221",3.64386465866233,3.96664023122124,1.56731779588396,-196.89036966031
"168","4-3-6","171221",3.89930165866233,4.32739886431516,1.87665327261839,-192.692193797745
"169","4-4","171221",3.11911365866233,3.33479241420643,1.1798179648551,136.064807962981
"170","4-5","171221",3.10274665866233,3.31948900556021,1.1798179648551,136.064807962981
"171","4-6","171221",3.13866165866233,3.39109908073616,1.28388315972003,131.794609438335
"172","4-7","171221",3.11084565866233,3.44214743367913,1.47343755998194,129.15396932728
