"","node","is.in","vert.dist","center.dist","hor.dist","theta"
"197","9-27","171221",9.60506657072193,11.9057759802851,7.0349269978254,-54.7273733924236
"198","9-28","both",9.80155219038581,12.3056483597482,7.43997936224355,-52.5657553399532
"199","9-29","both",9.95405519038582,12.42755371578,7.43997936224355,-52.5657553399532
"200","9-3","171221",7.57023657072193,7.84881235941197,2.07252833914577,-67.6573236469472
"201","9-30","171221",10.1481535707219,12.5246275903969,7.34038659630235,-55.771902891132
"202","9-4","171221",7.50887257072193,7.78964318822772,2.07252833914577,-67.6573236469472
"203","9-5","171221",7.58247857072195,7.91932072803971,2.28509507856934,-62.9626477667097
"204","9-6","both",7.75529069038581,8.09834102679555,2.33090374199628,-62.1665244959866
"205","9-8","171221",7.94072257072193,8.4272856426641,2.82206809944051,-56.5121874152658
"206","9-9","both",7.92057169038581,8.48286809038511,3.03691385665706,-57.7940503095003
"207","0-1-18","171221",7.57342557072195,9.47264107712222,5.6898290045236,-178.136419776645
"208","10","both",6.38142369038582,6.45166923134245,0.949447029735066,-162.087297027788
"209","10-1","both",7.03162619038582,7.19546502983081,1.52674461864237,-176.03441213883
"210","10-1-1","both",7.32535369038581,7.5705327431062,1.9104968153947,-173.960599218569
"211","10-1-2","both",7.52532019038581,8.2389463823684,3.35385242410345,-171.885753646818
"212","10-1-3","both",7.48802219038582,8.44057290802122,3.89505493276816,-168.593311548864
"213","10-1-3-1","both",7.54982219038581,8.46866519166245,3.83645090530702,-167.397389616028
"214","10-1-3-2","both",7.87052069038582,8.92131499876637,4.20047643120208,-172.94780963669
"215","10-1-3-2-2","171221",8.07030657072195,9.37021619820683,4.76141821894483,-175.988916475232
"216","10-1-4","both",7.25721219038581,8.66109350368126,4.72728965079932,-168.112482544926
"217","10-1-4-2","both",8.06898769038581,9.92662765595066,5.7817616972039,-163.994515969732
"218","10-1-9","both",8.18828019038581,10.4063345364869,6.42210773288601,-175.343006538185
"219","10-2","both",8.00532919038581,8.11531105888511,1.33039781849746,-188.824631013566
"220","10-2-1","both",8.8025436903858,9.1179833317031,2.37751404223805,-238.088352924988
"221","10-2-2","both",8.86584319038582,9.16761010573416,2.3325451146646,-242.007205500227
"222","10-2-3","both",9.01188169038581,9.42722235062465,2.76732789720046,-245.375304855733
"223","10-2-3-1","171221",9.13528957072194,9.58239913111138,2.89289778025135,-250.745625966448
"224","10-2-4","171221",9.04629657072195,9.66488103414439,3.40212341908819,-250.020293315485
"225","10-2-5","171221",9.18433557072194,9.84377224204945,3.54229192440643,-253.972389842564
"226","10-2-6","171221",9.21882257072195,9.99715332183931,3.86734856845231,-255.999266082908
"227","10-2-7","171221",9.45867657072193,10.2827402628973,4.03338379585729,-256.100964366923
"228","10-2-7-1","171221",9.53171157072194,10.384973218153,4.12239533212424,-254.606095995947
"229","10-3","both",8.92323069038581,9.17748507503271,2.14504571366801,-182.147433448324
"230","10-3-.5","both",8.85738119038582,9.12606714804034,2.19759628743984,-181.751939395603
"231","10-3-1","both",9.22508569038581,9.52738442556756,2.38092604660806,-182.579021015394
"232","10-3-2","both",9.45204069038581,9.79899426881498,2.58441210871283,-180.271789392784
"233","10-3-2.5","both",9.53856119038581,9.89399886712701,2.62768586068309,-179.095367786442
"234","10-3-3","both",10.1501126903858,10.6243525691508,3.13844169000355,-173.052231388203
"235","10-3-3-2","both",10.4923716903858,11.1457444702069,3.76001392013724,-173.784848131391
"236","10-3-3-2-.5","both",10.5407771903858,11.3048855569988,4.08563675045818,-172.561245791245
"237","10-3-3-2-1","both",10.8917711903858,11.7486588812896,4.40456565264314,-170.444605477226
"238","10-3-3-2-2","both",11.2137696903858,12.3319310085346,5.13089261697127,-170.721115679922
"239","10-3-3-2-2-.5","both",11.4295756903858,12.5284717310851,5.13089261697127,-170.721115679922
"240","10-3-3-2-2-1","both",11.4974861903858,12.6563921279237,5.29073349427443,-169.673054402507
"241","10-3-3-2-2-3","both",11.6732466903858,12.7709932698401,5.17991774507152,-169.755059683839
"242","10-3-3-2-2-4","both",12.5117521903858,13.6937200319028,5.56534756540438,-169.057634145403
"243","10-3-3-2.5","both",10.5627496903858,11.1845762013289,3.6773678039041,-176.589368585652
"244","10-3-3-3","both",10.8195851903858,11.5171531891524,3.94732623291155,-179.544395857218
"245","10-3-3-4","171221",11.0339815707219,11.8395813851397,4.29266095473598,-182.470465080583
"246","10-3-4","both",11.2838046903858,11.8503047389529,3.6201257889638,-162.227229109881
"247","10-3-4-.5","171221",12.1870235707219,12.8791258266516,4.16513367677353,-155.205559207005
"248","10-3-4-1","both",11.8706886903858,12.7080399248238,4.53660146478273,-151.259537740007
"249","10-3-4.5","171221",11.526864570722,12.0462106589477,3.49894046933929,-167.787983146582
"250","10-3-5","both",12.0801561903858,12.6109302953336,3.6201257889638,-162.227229109881
"251","10-4","both",10.1539976903858,10.3875711636866,2.19042112575413,-203.900888876495
"252","10-4-1","both",10.6616226903858,10.8994120966059,2.26288506576235,-212.327516890657
"253","10-4-1-1","both",10.8966756903858,11.1756062998208,2.48089062399864,-220.176393735
"254","10-4-2","both",11.8383401903858,12.1073448036241,2.53678412419525,-211.273079794134
"255","10-4-3","both",11.8969146903858,12.1755327406242,2.58976554715695,-214.087398243111
"256","10-4.1","171221",10.029466570722,10.3190433994274,2.42743835885428,-205.268605113599
